,Kx,FOx,FOx_STD,PSOx,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,1460,464.074,0.11946739747559343,3412003,506.30787864290613,423.5309172906251,0.3128333977407701,758,0.31785890410958906,0.5587479119929091,2336.9883561643837
1,1460,975.1329999999994,0.10256367214276502,6982248,511.8611612143256,452.1057878156201,0.2607726943244833,827,0.6678993150684928,0.5466817265001452,4782.361643835617
2,1460,1436.127000000004,0.11230119212743923,10062616,503.6521094172408,610.0708535270724,0.2521264395709302,1027,0.9836486301369891,0.5940319898024073,6892.202739726027
3,1453,1792.7620000000118,0.12103165453071123,12021895,502.6146053498307,704.7254386896254,0.24890884577179428,1152,1.2338348245010404,0.6117408321958554,8273.843771507227
4,1440,1891.2559999999924,0.18197654963028165,12518159,498.598579146198,748.4077824245093,0.24766436823334953,1167,1.3133722222222168,0.6413091537485084,8693.165972222223
5,1417,1930.216999999993,0.18086416971478503,12531645,477.9938254853517,768.1361856677577,0.25367892997351166,1158,1.3621856033874333,0.6633300394367511,8843.78616796048
6,1380,1768.2919999999995,0.18472126424491914,11378384,486.0807474030253,778.802221905107,0.25903753401798113,1142,1.2813710144927533,0.6819634167295158,8245.20579710145
7,1348,1772.7189999999948,0.19066887636839386,11546375,514.0445030508489,775.3889853329815,0.26210595213656834,1123,1.3150734421364947,0.6904621418815508,8565.560089020772
8,1283,1667.4819999999975,0.1274751616838442,10788728,502.3718319496873,745.4942846727736,0.2518362015195496,1063,1.2996742010911906,0.7013116506799375,8408.98519095869
9,1198,1572.9549999999986,0.1320970063686098,9982189,498.8897239188884,711.2455889929778,0.2533059868987646,988,1.3129841402337217,0.719884199385605,8332.378130217028
10,1130,1441.7200000000014,0.13087031415540487,9248688,505.2316381339135,682.5319783406985,0.2633712510433247,948,1.2758584070796473,0.7199704412876566,8184.679646017699
11,1029,1335.8640000000003,0.13754904310992705,8380534,502.91485725692513,641.9375785583833,0.2501499169146803,879,1.2982157434402335,0.7303044124668752,8144.347910592808
12,919,1178.1129999999998,0.13190817476759142,7651089,506.30797529204193,572.3139251853127,0.25623844893711406,780,1.2819510337323174,0.7337358015196316,8325.450489662677
13,838,1077.940999999999,0.13134182052291338,6958662,519.8601824168838,529.7549742507828,0.25493444147303274,711,1.2863257756563233,0.7450843519701587,8303.89260143198
14,752,976.8239999999998,0.13326908750347072,6253632,523.4211013592288,487.04856852674584,0.2471883053550745,646,1.2989680851063827,0.7539451525181824,8316.0
15,662,876.5009999999991,0.133212295224696,5539819,498.92760997545776,424.5440380549076,0.26067672727488433,573,1.3240196374622342,0.7409145515792454,8368.30664652568
16,590,756.9989999999977,0.12841087100667758,5067889,529.599109729805,373.4431673905588,0.25146640149730387,496,1.283049152542369,0.7529096116745138,8589.642372881355
17,519,664.250000000001,0.13862944284895723,4315376,512.4738324550046,337.6684805988971,0.2554170463484013,447,1.2798651252408497,0.7554104711384723,8314.789980732177
18,451,594.1739999999993,0.14223635089291128,3719352,507.879489458126,296.21581493469915,0.2522224837521463,390,1.3174589800443444,0.7595277306017927,8246.90022172949
19,391,518.8779999999998,0.13109366380134307,3380334,509.1113894098592,261.19637864995696,0.23806071913575716,341,1.3270537084398972,0.7659717848972345,8645.355498721228
20,344,424.44699999999904,0.1273746761729181,2788434,508.0700873346963,233.84237234921807,0.23492554876717536,298,1.2338575581395321,0.7847059474805975,8105.912790697675
21,276,370.7349999999997,0.13799584124161476,2480714,544.9788140700347,193.2216594777222,0.215220218455577,244,1.3432427536231872,0.7918920470398451,8988.09420289855
22,217,257.668,0.16936791174503646,1642996,482.2173484068164,134.90905365460137,0.26203431204690686,174,1.187410138248848,0.7753393888195481,7571.410138248848
23,114,70.04100000000004,0.1850013750365983,426029,395.9451394880672,57.427030214150165,0.2801523811476484,77,0.6143947368421057,0.7458055871967554,3737.09649122807
