,Kx,FOx,FOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx
0,756,215.14000000000024,0.12564398933677662,213.94484879919887,0.35297847441377606,365,0.28457671957671987,0.5861502706827366
1,756,429.37100000000055,0.12197270329068309,220.50963227440997,0.32361797716527396,391,0.567951058201059,0.5639632538987467
2,756,674.1729999999986,0.12970503543904516,288.5341920415468,0.293924449411642,492,0.8917632275132257,0.5864516098405423
3,741,817.7279999999989,0.126666822467676,311.8233819549622,0.28568274262418597,532,1.103546558704452,0.5861341766070718
4,721,832.5660000000009,0.13111912415058397,333.781280885523,0.29129953128577263,544,1.1547378640776713,0.6135685310395643
5,694,819.2540000000002,0.12054307716412042,332.0772005967008,0.29261652136427624,539,1.1804812680115278,0.6160987024057528
6,664,840.4940000000007,0.2285430608472871,332.99696841936384,0.28563783230538425,523,1.265804216867471,0.6367054845494529
7,636,797.9610000000004,0.2313901877076464,313.87447255994175,0.2954526118521512,501,1.254655660377359,0.6264959532134566
8,605,754.2629999999997,0.2309111711207144,313.5305051670894,0.291792883392486,484,1.2467157024793383,0.6477902999320029
9,575,677.3880000000004,0.13996103986861855,294.52755963873136,0.29242472034471284,451,1.1780660869565225,0.6530544559617103
10,537,684.9019999999996,0.1501904510725889,276.2761602101819,0.3028955294353558,435,1.2754227188081928,0.6351176096785791
11,494,637.5799999999986,0.14525168314725026,264.85506399313266,0.289595028155275,401,1.2906477732793493,0.6604864438731488
12,450,529.0780000000004,0.1273075005854104,246.77227410391814,0.28713693031904497,364,1.17572888888889,0.677945807977797
13,410,484.40600000000035,0.1392568176775621,221.3693957645263,0.2934976540110253,328,1.1814780487804886,0.6749066944040436
14,358,431.46000000000026,0.13362538789809858,196.87772943922042,0.29052753978454054,292,1.2051955307262576,0.674238799449385
15,316,391.8220000000004,0.12546333886897476,174.52908546765923,0.2999410109059207,260,1.2399430379746847,0.6712657133371509
16,280,358.1269999999996,0.13637907281506298,162.68696894191422,0.29573810298833786,239,1.2790249999999985,0.6806986148197247
17,250,308.01499999999976,0.12915387071691642,146.29836286458035,0.29905840445319665,212,1.232059999999999,0.6900866172857564
18,211,245.1189999999999,0.13179392246387747,122.37898201595547,0.29100074196272885,175,1.1617014218009474,0.6993084686626027
19,174,225.38999999999993,0.1461563304779132,102.63245402240025,0.25900298949175443,143,1.2953448275862065,0.7177094686881137
20,151,182.61100000000005,0.12636428120483767,84.40656783745514,0.27237662286137154,120,1.2093443708609275,0.7033880653121262
21,111,134.02900000000005,0.14873051560802034,61.177787940358925,0.2664178524932932,92,1.207468468468469,0.6649759558734666
22,89,104.074,0.1295280687327876,47.621283877651706,0.2902626517549481,70,1.1693707865168539,0.6803040553950244
23,44,32.211,0.16595878141764486,16.36079626471772,0.34406310466221535,32,0.7320681818181818,0.5112748832724288
